Training has begun...


Epoch 0 has begun

After batch 0 , accuracy: 1.0, loss: 0.637
After batch 72 , accuracy: 0.516, loss: 0.701
After batch 73 , accuracy: 0.518, loss: 0.701
After batch 74 , accuracy: 0.52, loss: 0.701
After batch 75 , accuracy: 0.526, loss: 0.698
After batch 76 , accuracy: 0.528, loss: 0.696
After batch 77 , accuracy: 0.526, loss: 0.697
After batch 78 , accuracy: 0.519, loss: 0.703
After batch 79 , accuracy: 0.525, loss: 0.699
After batch 80 , accuracy: 0.527, loss: 0.699
After batch 81 , accuracy: 0.533, loss: 0.697
After batch 82 , accuracy: 0.538, loss: 0.693
After batch 83 , accuracy: 0.536, loss: 0.695
After batch 84 , accuracy: 0.529, loss: 0.704
After batch 85 , accuracy: 0.523, loss: 0.709
After batch 86 , accuracy: 0.517, loss: 0.71
After batch 87 , accuracy: 0.519, loss: 0.71
After batch 88 , accuracy: 0.524, loss: 0.709
After batch 89 , accuracy: 0.522, loss: 0.709
After batch 90 , accuracy: 0.524, loss: 0.708
After batch 91 , accuracy: 0.525, loss: 0.707
After batch 92 , accuracy: 0.527, loss: 0.706
After batch 93 , accuracy: 0.532, loss: 0.705
After batch 94 , accuracy: 0.53, loss: 0.705
After batch 95 , accuracy: 0.531, loss: 0.705
After batch 96 , accuracy: 0.533, loss: 0.703
After batch 97 , accuracy: 0.527, loss: 0.705
After batch 98 , accuracy: 0.532, loss: 0.703
After batch 99 , accuracy: 0.53, loss: 0.704
After batch 100 , accuracy: 0.531, loss: 0.703
After batch 101 , accuracy: 0.533, loss: 0.702
After batch 102 , accuracy: 0.534, loss: 0.701
After batch 103 , accuracy: 0.538, loss: 0.7
After batch 104 , accuracy: 0.537, loss: 0.701
After batch 105 , accuracy: 0.541, loss: 0.699
After batch 106 , accuracy: 0.542, loss: 0.699
After batch 107 , accuracy: 0.54, loss: 0.699
After batch 108 , accuracy: 0.544, loss: 0.698
After batch 109 , accuracy: 0.545, loss: 0.698
After batch 110 , accuracy: 0.544, loss: 0.697
After batch 111 , accuracy: 0.545, loss: 0.696
After batch 112 , accuracy: 0.549, loss: 0.695
After batch 113 , accuracy: 0.553, loss: 0.693
After batch 114 , accuracy: 0.557, loss: 0.691
After batch 115 , accuracy: 0.557, loss: 0.691
After batch 116 , accuracy: 0.561, loss: 0.688
After batch 117 , accuracy: 0.562, loss: 0.688
After batch 118 , accuracy: 0.56, loss: 0.69
After batch 119 , accuracy: 0.561, loss: 0.69
After batch 120 , accuracy: 0.559, loss: 0.694
After batch 121 , accuracy: 0.557, loss: 0.695
After batch 122 , accuracy: 0.558, loss: 0.695
After batch 123 , accuracy: 0.562, loss: 0.693
After batch 124 , accuracy: 0.565, loss: 0.69
After batch 125 , accuracy: 0.569, loss: 0.688
After batch 126 , accuracy: 0.572, loss: 0.686
After batch 127 , accuracy: 0.576, loss: 0.684
After batch 128 , accuracy: 0.579, loss: 0.681
After batch 129 , accuracy: 0.579, loss: 0.68
After batch 130 , accuracy: 0.58, loss: 0.68
After batch 131 , accuracy: 0.581, loss: 0.681
After batch 132 , accuracy: 0.584, loss: 0.679
After batch 133 , accuracy: 0.587, loss: 0.677
After batch 134 , accuracy: 0.588, loss: 0.675
After batch 135 , accuracy: 0.588, loss: 0.673
After batch 136 , accuracy: 0.589, loss: 0.672
After batch 137 , accuracy: 0.587, loss: 0.672
After batch 138 , accuracy: 0.585, loss: 0.671
After batch 139 , accuracy: 0.583, loss: 0.678
After batch 140 , accuracy: 0.582, loss: 0.68
After batch 141 , accuracy: 0.585, loss: 0.677
After batch 142 , accuracy: 0.585, loss: 0.677
After batch 143 , accuracy: 0.581, loss: 0.679
After batch 144 , accuracy: 0.584, loss: 0.677
After batch 145 , accuracy: 0.584, loss: 0.676
After batch 146 , accuracy: 0.587, loss: 0.673
After batch 147 , accuracy: 0.59, loss: 0.671
After batch 148 , accuracy: 0.593, loss: 0.669
After batch 149 , accuracy: 0.591, loss: 0.669
After batch 150 , accuracy: 0.594, loss: 0.667
After batch 151 , accuracy: 0.596, loss: 0.665
After batch 152 , accuracy: 0.599, loss: 0.662
After batch 153 , accuracy: 0.602, loss: 0.66
After batch 154 , accuracy: 0.604, loss: 0.658
After batch 155 , accuracy: 0.603, loss: 0.661
After batch 156 , accuracy: 0.605, loss: 0.659
After batch 157 , accuracy: 0.608, loss: 0.656
After batch 158 , accuracy: 0.608, loss: 0.654
After batch 159 , accuracy: 0.61, loss: 0.651
After batch 160 , accuracy: 0.613, loss: 0.648
After batch 161 , accuracy: 0.613, loss: 0.646
After batch 162 , accuracy: 0.613, loss: 0.645
After batch 163 , accuracy: 0.616, loss: 0.642
After batch 164 , accuracy: 0.618, loss: 0.639
After batch 165 , accuracy: 0.62, loss: 0.635
After batch 166 , accuracy: 0.623, loss: 0.633
After batch 167 , accuracy: 0.625, loss: 0.629
After batch 168 , accuracy: 0.623, loss: 0.631
After batch 169 , accuracy: 0.625, loss: 0.628
After batch 170 , accuracy: 0.626, loss: 0.629
After batch 171 , accuracy: 0.626, loss: 0.631
After batch 172 , accuracy: 0.626, loss: 0.631
After batch 173 , accuracy: 0.628, loss: 0.627
After batch 174 , accuracy: 0.629, loss: 0.628
After batch 175 , accuracy: 0.631, loss: 0.624
After batch 176 , accuracy: 0.631, loss: 0.623
After batch 177 , accuracy: 0.633, loss: 0.62
After batch 178 , accuracy: 0.633, loss: 0.622
After batch 179 , accuracy: 0.635, loss: 0.62
After batch 180 , accuracy: 0.634, loss: 0.624
After batch 181 , accuracy: 0.634, loss: 0.626
After batch 182 , accuracy: 0.634, loss: 0.626
After batch 183 , accuracy: 0.634, loss: 0.626
After batch 184 , accuracy: 0.636, loss: 0.624
After batch 185 , accuracy: 0.638, loss: 0.622
After batch 186 , accuracy: 0.64, loss: 0.62
After batch 187 , accuracy: 0.64, loss: 0.619
After batch 188 , accuracy: 0.642, loss: 0.617
After batch 189 , accuracy: 0.642, loss: 0.617
After batch 190 , accuracy: 0.644, loss: 0.615
After batch 191 , accuracy: 0.644, loss: 0.615
After batch 192 , accuracy: 0.646, loss: 0.614
After batch 193 , accuracy: 0.644, loss: 0.614
After batch 194 , accuracy: 0.646, loss: 0.612
After batch 195 , accuracy: 0.648, loss: 0.611
After batch 196 , accuracy: 0.646, loss: 0.611
After batch 197 , accuracy: 0.648, loss: 0.609
After batch 198 , accuracy: 0.65, loss: 0.607
After batch 199 , accuracy: 0.652, loss: 0.606
After batch 200 , accuracy: 0.653, loss: 0.604
After batch 201 , accuracy: 0.653, loss: 0.603
After batch 202 , accuracy: 0.654, loss: 0.602
After batch 203 , accuracy: 0.655, loss: 0.6
After batch 204 , accuracy: 0.657, loss: 0.597
After batch 205 , accuracy: 0.657, loss: 0.598
After batch 206 , accuracy: 0.659, loss: 0.596
After batch 207 , accuracy: 0.657, loss: 0.601
After batch 208 , accuracy: 0.657, loss: 0.601
After batch 209 , accuracy: 0.659, loss: 0.599
After batch 210 , accuracy: 0.66, loss: 0.596
After batch 211 , accuracy: 0.66, loss: 0.595
After batch 212 , accuracy: 0.659, loss: 0.596
After batch 213 , accuracy: 0.657, loss: 0.598
After batch 214 , accuracy: 0.659, loss: 0.596
After batch 215 , accuracy: 0.659, loss: 0.595
After batch 216 , accuracy: 0.661, loss: 0.593
After batch 217 , accuracy: 0.661, loss: 0.593
After batch 218 , accuracy: 0.662, loss: 0.591
After batch 219 , accuracy: 0.664, loss: 0.589
After batch 220 , accuracy: 0.664, loss: 0.588
After batch 221 , accuracy: 0.663, loss: 0.589
Epoch 1 has begun

After batch 0 , accuracy: 0.667, loss: 0.339
After batch 1 , accuracy: 0.667, loss: 0.372
After batch 2 , accuracy: 0.667, loss: 0.365
After batch 3 , accuracy: 0.667, loss: 0.407
After batch 4 , accuracy: 0.733, loss: 0.379
After batch 5 , accuracy: 0.778, loss: 0.327
After batch 6 , accuracy: 0.81, loss: 0.314
After batch 7 , accuracy: 0.792, loss: 0.328
After batch 8 , accuracy: 0.815, loss: 0.344
After batch 9 , accuracy: 0.833, loss: 0.325
After batch 10 , accuracy: 0.818, loss: 0.34
After batch 11 , accuracy: 0.806, loss: 0.346
After batch 12 , accuracy: 0.821, loss: 0.329
After batch 13 , accuracy: 0.833, loss: 0.322
After batch 14 , accuracy: 0.844, loss: 0.316
After batch 15 , accuracy: 0.812, loss: 0.406
After batch 16 , accuracy: 0.824, loss: 0.39
After batch 17 , accuracy: 0.815, loss: 0.389
After batch 18 , accuracy: 0.807, loss: 0.434
After batch 19 , accuracy: 0.8, loss: 0.439
After batch 20 , accuracy: 0.81, loss: 0.423
After batch 21 , accuracy: 0.803, loss: 0.438
After batch 22 , accuracy: 0.797, loss: 0.434
After batch 23 , accuracy: 0.792, loss: 0.432
After batch 24 , accuracy: 0.8, loss: 0.418
After batch 25 , accuracy: 0.795, loss: 0.413
After batch 26 , accuracy: 0.802, loss: 0.406
After batch 27 , accuracy: 0.81, loss: 0.401
After batch 28 , accuracy: 0.816, loss: 0.395
After batch 29 , accuracy: 0.822, loss: 0.389
After batch 30 , accuracy: 0.817, loss: 0.403
After batch 31 , accuracy: 0.823, loss: 0.396
After batch 32 , accuracy: 0.828, loss: 0.388
After batch 33 , accuracy: 0.824, loss: 0.391
After batch 34 , accuracy: 0.819, loss: 0.393
After batch 35 , accuracy: 0.815, loss: 0.393
After batch 36 , accuracy: 0.82, loss: 0.383
After batch 37 , accuracy: 0.825, loss: 0.381
After batch 38 , accuracy: 0.821, loss: 0.386
After batch 39 , accuracy: 0.825, loss: 0.377
After batch 40 , accuracy: 0.829, loss: 0.379
After batch 41 , accuracy: 0.833, loss: 0.372
After batch 42 , accuracy: 0.829, loss: 0.377
After batch 43 , accuracy: 0.833, loss: 0.37
After batch 44 , accuracy: 0.83, loss: 0.373
After batch 45 , accuracy: 0.833, loss: 0.367
After batch 46 , accuracy: 0.837, loss: 0.36
After batch 47 , accuracy: 0.84, loss: 0.355
After batch 48 , accuracy: 0.844, loss: 0.351
After batch 49 , accuracy: 0.847, loss: 0.351
After batch 50 , accuracy: 0.85, loss: 0.348
After batch 51 , accuracy: 0.853, loss: 0.342
After batch 52 , accuracy: 0.855, loss: 0.336
After batch 53 , accuracy: 0.858, loss: 0.334
After batch 54 , accuracy: 0.861, loss: 0.331
After batch 55 , accuracy: 0.857, loss: 0.333
After batch 56 , accuracy: 0.86, loss: 0.33
After batch 57 , accuracy: 0.862, loss: 0.326
After batch 58 , accuracy: 0.859, loss: 0.326
After batch 59 , accuracy: 0.861, loss: 0.321
After batch 60 , accuracy: 0.863, loss: 0.317
After batch 61 , accuracy: 0.866, loss: 0.313
After batch 62 , accuracy: 0.868, loss: 0.308
After batch 63 , accuracy: 0.87, loss: 0.304
After batch 64 , accuracy: 0.872, loss: 0.3
After batch 65 , accuracy: 0.874, loss: 0.295
After batch 66 , accuracy: 0.876, loss: 0.291
After batch 67 , accuracy: 0.877, loss: 0.287
After batch 68 , accuracy: 0.879, loss: 0.284
After batch 69 , accuracy: 0.876, loss: 0.293
After batch 70 , accuracy: 0.878, loss: 0.29
After batch 71 , accuracy: 0.88, loss: 0.288
After batch 72 , accuracy: 0.877, loss: 0.288
After batch 73 , accuracy: 0.874, loss: 0.289
After batch 74 , accuracy: 0.876, loss: 0.285
After batch 75 , accuracy: 0.873, loss: 0.29
After batch 76 , accuracy: 0.866, loss: 0.297
After batch 77 , accuracy: 0.868, loss: 0.294
After batch 78 , accuracy: 0.869, loss: 0.291
After batch 79 , accuracy: 0.871, loss: 0.287
After batch 80 , accuracy: 0.872, loss: 0.284
After batch 81 , accuracy: 0.874, loss: 0.282
After batch 82 , accuracy: 0.876, loss: 0.279
After batch 83 , accuracy: 0.877, loss: 0.276
After batch 84 , accuracy: 0.878, loss: 0.274
After batch 85 , accuracy: 0.88, loss: 0.275
After batch 86 , accuracy: 0.881, loss: 0.272
After batch 87 , accuracy: 0.883, loss: 0.269
After batch 88 , accuracy: 0.884, loss: 0.267
After batch 89 , accuracy: 0.885, loss: 0.265
After batch 90 , accuracy: 0.886, loss: 0.263
After batch 91 , accuracy: 0.888, loss: 0.261
After batch 92 , accuracy: 0.889, loss: 0.26
After batch 93 , accuracy: 0.887, loss: 0.26
After batch 94 , accuracy: 0.888, loss: 0.258
After batch 95 , accuracy: 0.889, loss: 0.255
After batch 96 , accuracy: 0.89, loss: 0.254
After batch 97 , accuracy: 0.891, loss: 0.252
After batch 98 , accuracy: 0.892, loss: 0.25
After batch 99 , accuracy: 0.893, loss: 0.247
After batch 100 , accuracy: 0.891, loss: 0.25
After batch 101 , accuracy: 0.892, loss: 0.248
After batch 102 , accuracy: 0.893, loss: 0.246
After batch 103 , accuracy: 0.894, loss: 0.244
After batch 104 , accuracy: 0.892, loss: 0.248
After batch 105 , accuracy: 0.893, loss: 0.246
After batch 106 , accuracy: 0.894, loss: 0.244
After batch 107 , accuracy: 0.895, loss: 0.244
After batch 108 , accuracy: 0.896, loss: 0.242
After batch 109 , accuracy: 0.897, loss: 0.241
After batch 110 , accuracy: 0.895, loss: 0.241
After batch 111 , accuracy: 0.896, loss: 0.239
After batch 112 , accuracy: 0.897, loss: 0.237
After batch 113 , accuracy: 0.895, loss: 0.238
After batch 114 , accuracy: 0.896, loss: 0.236
After batch 115 , accuracy: 0.897, loss: 0.235
After batch 116 , accuracy: 0.897, loss: 0.235
After batch 117 , accuracy: 0.898, loss: 0.233
After batch 118 , accuracy: 0.899, loss: 0.231
After batch 119 , accuracy: 0.9, loss: 0.229
After batch 120 , accuracy: 0.901, loss: 0.228
After batch 121 , accuracy: 0.902, loss: 0.226
After batch 122 , accuracy: 0.902, loss: 0.224
After batch 123 , accuracy: 0.903, loss: 0.223
After batch 124 , accuracy: 0.904, loss: 0.221
After batch 125 , accuracy: 0.905, loss: 0.219
After batch 126 , accuracy: 0.906, loss: 0.217
After batch 127 , accuracy: 0.906, loss: 0.216
After batch 128 , accuracy: 0.907, loss: 0.214
After batch 129 , accuracy: 0.905, loss: 0.22
After batch 130 , accuracy: 0.906, loss: 0.218
After batch 131 , accuracy: 0.907, loss: 0.217
After batch 132 , accuracy: 0.907, loss: 0.215
After batch 133 , accuracy: 0.908, loss: 0.213
After batch 134 , accuracy: 0.909, loss: 0.212
After batch 135 , accuracy: 0.909, loss: 0.21
After batch 136 , accuracy: 0.91, loss: 0.209
After batch 137 , accuracy: 0.911, loss: 0.208
After batch 138 , accuracy: 0.911, loss: 0.207
After batch 139 , accuracy: 0.912, loss: 0.207
After batch 140 , accuracy: 0.91, loss: 0.21
After batch 141 , accuracy: 0.911, loss: 0.208
After batch 142 , accuracy: 0.911, loss: 0.207
After batch 143 , accuracy: 0.912, loss: 0.206
After batch 144 , accuracy: 0.913, loss: 0.204
After batch 145 , accuracy: 0.913, loss: 0.204
After batch 146 , accuracy: 0.914, loss: 0.203
After batch 147 , accuracy: 0.914, loss: 0.202
After batch 148 , accuracy: 0.915, loss: 0.2
After batch 149 , accuracy: 0.916, loss: 0.199
After batch 150 , accuracy: 0.916, loss: 0.199
After batch 151 , accuracy: 0.917, loss: 0.199
After batch 152 , accuracy: 0.917, loss: 0.198
After batch 153 , accuracy: 0.918, loss: 0.197
After batch 154 , accuracy: 0.918, loss: 0.195
After batch 155 , accuracy: 0.919, loss: 0.195
After batch 156 , accuracy: 0.919, loss: 0.194
After batch 157 , accuracy: 0.92, loss: 0.193
After batch 158 , accuracy: 0.92, loss: 0.191
After batch 159 , accuracy: 0.921, loss: 0.19
After batch 160 , accuracy: 0.921, loss: 0.189
After batch 161 , accuracy: 0.922, loss: 0.188
After batch 162 , accuracy: 0.922, loss: 0.187
After batch 163 , accuracy: 0.921, loss: 0.188
After batch 164 , accuracy: 0.921, loss: 0.187
After batch 165 , accuracy: 0.922, loss: 0.186
After batch 166 , accuracy: 0.922, loss: 0.185
After batch 167 , accuracy: 0.923, loss: 0.184
After batch 168 , accuracy: 0.923, loss: 0.183
After batch 169 , accuracy: 0.924, loss: 0.182
After batch 170 , accuracy: 0.922, loss: 0.186
After batch 171 , accuracy: 0.922, loss: 0.185
After batch 172 , accuracy: 0.923, loss: 0.184
After batch 173 , accuracy: 0.923, loss: 0.183
After batch 174 , accuracy: 0.924, loss: 0.182
After batch 175 , accuracy: 0.924, loss: 0.181
After batch 176 , accuracy: 0.925, loss: 0.18
After batch 177 , accuracy: 0.925, loss: 0.179
After batch 178 , accuracy: 0.924, loss: 0.184
After batch 179 , accuracy: 0.924, loss: 0.183
After batch 180 , accuracy: 0.924, loss: 0.182
After batch 181 , accuracy: 0.925, loss: 0.181
After batch 182 , accuracy: 0.925, loss: 0.18
After batch 183 , accuracy: 0.926, loss: 0.179
After batch 184 , accuracy: 0.926, loss: 0.178
After batch 185 , accuracy: 0.927, loss: 0.177
After batch 186 , accuracy: 0.927, loss: 0.176
After batch 187 , accuracy: 0.927, loss: 0.176
After batch 188 , accuracy: 0.928, loss: 0.175
After batch 189 , accuracy: 0.928, loss: 0.174
After batch 190 , accuracy: 0.928, loss: 0.173
After batch 191 , accuracy: 0.929, loss: 0.173
After batch 192 , accuracy: 0.929, loss: 0.172
After batch 193 , accuracy: 0.93, loss: 0.171
After batch 194 , accuracy: 0.93, loss: 0.171
After batch 195 , accuracy: 0.93, loss: 0.17
After batch 196 , accuracy: 0.931, loss: 0.169
After batch 197 , accuracy: 0.931, loss: 0.169
After batch 198 , accuracy: 0.931, loss: 0.168
After batch 199 , accuracy: 0.928, loss: 0.172
After batch 200 , accuracy: 0.929, loss: 0.172
After batch 201 , accuracy: 0.929, loss: 0.172
After batch 202 , accuracy: 0.929, loss: 0.171
After batch 203 , accuracy: 0.93, loss: 0.171
After batch 204 , accuracy: 0.93, loss: 0.17
After batch 205 , accuracy: 0.929, loss: 0.171
After batch 206 , accuracy: 0.929, loss: 0.171
After batch 207 , accuracy: 0.929, loss: 0.17
After batch 208 , accuracy: 0.93, loss: 0.169
After batch 209 , accuracy: 0.93, loss: 0.168
After batch 210 , accuracy: 0.93, loss: 0.168
After batch 211 , accuracy: 0.931, loss: 0.167
After batch 212 , accuracy: 0.931, loss: 0.167
After batch 213 , accuracy: 0.93, loss: 0.173
After batch 214 , accuracy: 0.93, loss: 0.172
After batch 215 , accuracy: 0.931, loss: 0.171
After batch 216 , accuracy: 0.931, loss: 0.17
After batch 217 , accuracy: 0.93, loss: 0.171
After batch 218 , accuracy: 0.93, loss: 0.17
After batch 219 , accuracy: 0.929, loss: 0.17
After batch 220 , accuracy: 0.929, loss: 0.17
After batch 221 , accuracy: 0.929, loss: 0.169
Epoch 2 has begun

After batch 0 , accuracy: 1.0, loss: 0.0
After batch 1 , accuracy: 1.0, loss: 0.0
After batch 2 , accuracy: 1.0, loss: 0.027
After batch 3 , accuracy: 1.0, loss: 0.025
After batch 4 , accuracy: 1.0, loss: 0.04
After batch 5 , accuracy: 1.0, loss: 0.042
After batch 6 , accuracy: 1.0, loss: 0.047
After batch 7 , accuracy: 1.0, loss: 0.043
After batch 8 , accuracy: 1.0, loss: 0.039
After batch 9 , accuracy: 1.0, loss: 0.038
After batch 10 , accuracy: 1.0, loss: 0.045
After batch 11 , accuracy: 1.0, loss: 0.045
After batch 12 , accuracy: 0.974, loss: 0.158
After batch 13 , accuracy: 0.976, loss: 0.158
After batch 14 , accuracy: 0.978, loss: 0.149
After batch 15 , accuracy: 0.979, loss: 0.141
After batch 16 , accuracy: 0.98, loss: 0.133
After batch 17 , accuracy: 0.963, loss: 0.19
After batch 18 , accuracy: 0.965, loss: 0.181
After batch 19 , accuracy: 0.967, loss: 0.172
After batch 20 , accuracy: 0.968, loss: 0.164
After batch 21 , accuracy: 0.97, loss: 0.158
After batch 22 , accuracy: 0.971, loss: 0.152
After batch 23 , accuracy: 0.972, loss: 0.146
After batch 24 , accuracy: 0.973, loss: 0.14
After batch 25 , accuracy: 0.974, loss: 0.136
After batch 26 , accuracy: 0.975, loss: 0.131
After batch 27 , accuracy: 0.976, loss: 0.131
After batch 28 , accuracy: 0.977, loss: 0.127
After batch 29 , accuracy: 0.967, loss: 0.133
After batch 30 , accuracy: 0.968, loss: 0.132
After batch 31 , accuracy: 0.969, loss: 0.131
After batch 32 , accuracy: 0.97, loss: 0.128
After batch 33 , accuracy: 0.951, loss: 0.158
After batch 34 , accuracy: 0.952, loss: 0.155
After batch 35 , accuracy: 0.954, loss: 0.153
After batch 36 , accuracy: 0.946, loss: 0.155
After batch 37 , accuracy: 0.947, loss: 0.152
After batch 38 , accuracy: 0.949, loss: 0.155
After batch 39 , accuracy: 0.95, loss: 0.156
After batch 40 , accuracy: 0.951, loss: 0.154
After batch 41 , accuracy: 0.952, loss: 0.151
After batch 42 , accuracy: 0.953, loss: 0.147
After batch 43 , accuracy: 0.955, loss: 0.144
After batch 44 , accuracy: 0.956, loss: 0.143
After batch 45 , accuracy: 0.957, loss: 0.14
After batch 46 , accuracy: 0.957, loss: 0.138
After batch 47 , accuracy: 0.958, loss: 0.136
After batch 48 , accuracy: 0.959, loss: 0.133
After batch 49 , accuracy: 0.96, loss: 0.13
After batch 50 , accuracy: 0.961, loss: 0.13
After batch 51 , accuracy: 0.962, loss: 0.127
After batch 52 , accuracy: 0.962, loss: 0.126
After batch 53 , accuracy: 0.963, loss: 0.124
After batch 54 , accuracy: 0.964, loss: 0.123
After batch 55 , accuracy: 0.964, loss: 0.122
After batch 56 , accuracy: 0.965, loss: 0.119
After batch 57 , accuracy: 0.966, loss: 0.117
After batch 58 , accuracy: 0.966, loss: 0.115
After batch 59 , accuracy: 0.967, loss: 0.114
After batch 60 , accuracy: 0.967, loss: 0.112
After batch 61 , accuracy: 0.968, loss: 0.11
After batch 62 , accuracy: 0.968, loss: 0.108
After batch 63 , accuracy: 0.969, loss: 0.107
After batch 64 , accuracy: 0.969, loss: 0.105
After batch 65 , accuracy: 0.97, loss: 0.104
After batch 66 , accuracy: 0.97, loss: 0.102
After batch 67 , accuracy: 0.971, loss: 0.101
After batch 68 , accuracy: 0.971, loss: 0.099
After batch 69 , accuracy: 0.971, loss: 0.099
After batch 70 , accuracy: 0.972, loss: 0.097
After batch 71 , accuracy: 0.972, loss: 0.097
After batch 72 , accuracy: 0.973, loss: 0.095
After batch 73 , accuracy: 0.973, loss: 0.094
After batch 74 , accuracy: 0.973, loss: 0.093
After batch 75 , accuracy: 0.974, loss: 0.092
After batch 76 , accuracy: 0.974, loss: 0.091
After batch 77 , accuracy: 0.974, loss: 0.09
After batch 78 , accuracy: 0.975, loss: 0.089
After batch 79 , accuracy: 0.975, loss: 0.087
After batch 80 , accuracy: 0.975, loss: 0.086
After batch 81 , accuracy: 0.976, loss: 0.085
After batch 82 , accuracy: 0.976, loss: 0.084
After batch 83 , accuracy: 0.976, loss: 0.083
After batch 84 , accuracy: 0.976, loss: 0.084
After batch 85 , accuracy: 0.977, loss: 0.083
After batch 86 , accuracy: 0.977, loss: 0.082
After batch 87 , accuracy: 0.977, loss: 0.081
After batch 88 , accuracy: 0.978, loss: 0.08
After batch 89 , accuracy: 0.978, loss: 0.08
After batch 90 , accuracy: 0.978, loss: 0.079
After batch 91 , accuracy: 0.978, loss: 0.078
After batch 92 , accuracy: 0.978, loss: 0.077
After batch 93 , accuracy: 0.979, loss: 0.076
After batch 94 , accuracy: 0.979, loss: 0.075
After batch 95 , accuracy: 0.979, loss: 0.075
After batch 96 , accuracy: 0.979, loss: 0.074
After batch 97 , accuracy: 0.98, loss: 0.074
After batch 98 , accuracy: 0.98, loss: 0.073
After batch 99 , accuracy: 0.98, loss: 0.072
After batch 100 , accuracy: 0.98, loss: 0.072
After batch 101 , accuracy: 0.98, loss: 0.071
After batch 102 , accuracy: 0.981, loss: 0.07
After batch 103 , accuracy: 0.981, loss: 0.069
After batch 104 , accuracy: 0.981, loss: 0.069
After batch 105 , accuracy: 0.981, loss: 0.068
After batch 106 , accuracy: 0.981, loss: 0.068
After batch 107 , accuracy: 0.981, loss: 0.067
After batch 108 , accuracy: 0.982, loss: 0.066
After batch 109 , accuracy: 0.982, loss: 0.066
After batch 110 , accuracy: 0.982, loss: 0.065
After batch 111 , accuracy: 0.982, loss: 0.065
